Date,Open Interest,Producer_Merchant_Processor_User_Longs,Producer_Merchant_Processor_User_Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2018-07-10,1818055.0,500172.0,750062.0,208128.0,39513.0,99477.0,263353.0,404297.0,154286.0,320946.0,70682.0,98709.0,1645071.0,1617026.0,172984.0,201029.0
2018-07-03,1830330.0,484257.0,773851.0,210341.0,36927.0,100340.0,274795.0,382191.0,149756.0,322256.0,66508.0,119627.0,1661372.0,1629200.0,168958.0,201130.0
2018-06-26,1885804.0,513100.0,840177.0,223131.0,32763.0,91972.0,287061.0,377825.0,153461.0,330396.0,58283.0,116745.0,1715866.0,1671226.0,169938.0,214578.0
2018-06-19,1992169.0,525197.0,920764.0,222105.0,41144.0,99285.0,299377.0,356828.0,163454.0,379025.0,56652.0,135078.0,1823521.0,1773205.0,168648.0,218964.0
2018-06-12,1963233.0,488666.0,917204.0,235249.0,37674.0,93281.0,292054.0,304292.0,172623.0,363918.0,65030.0,147098.0,1792889.0,1737202.0,170344.0,226031.0
2018-06-05,1988935.0,467925.0,948202.0,253260.0,35568.0,113775.0,306994.0,228298.0,215006.0,320467.0,69124.0,147811.0,1825238.0,1757784.0,163697.0,231151.0
2018-05-29,1959252.0,440373.0,1001517.0,280923.0,31117.0,90754.0,335541.0,154751.0,231064.0,291999.0,80180.0,132592.0,1803246.0,1721975.0,156006.0,237277.0
2018-05-22,1884621.0,397612.0,973771.0,289083.0,33234.0,60749.0,340066.0,149131.0,221273.0,292853.0,83450.0,125984.0,1727620.0,1647592.0,157001.0,237029.0
2018-05-15,1831023.0,392356.0,967057.0,295207.0,31920.0,53143.0,330210.0,145437.0,204039.0,287970.0,78433.0,116933.0,1679858.0,1596962.0,151165.0,234061.0
2018-05-08,1792804.0,378464.0,968139.0,296779.0,32840.0,53093.0,339273.0,133126.0,182509.0,284423.0,78417.0,116105.0,1650646.0,1564229.0,142158.0,228575.0
2018-05-01,1750116.0,346782.0,928927.0,291764.0,29462.0,58676.0,339428.0,153152.0,143805.0,283443.0,76012.0,137859.0,1601757.0,1527893.0,148359.0,222223.0
2018-04-24,1797330.0,393843.0,910450.0,283890.0,28810.0,56636.0,299404.0,185286.0,161182.0,281200.0,61902.0,163911.0,1640066.0,1568177.0,157264.0,229153.0
2018-04-17,1854949.0,434498.0,955800.0,288297.0,28215.0,58171.0,292821.0,166432.0,174478.0,291686.0,78015.0,159854.0,1699805.0,1620965.0,155144.0,233984.0
2018-04-10,1882013.0,428661.0,980464.0,281224.0,31015.0,61750.0,323112.0,153327.0,165868.0,289935.0,77416.0,176377.0,1726927.0,1646217.0,155086.0,235796.0
2018-04-03,1865937.0,425732.0,960100.0,274456.0,30097.0,77629.0,319724.0,181479.0,148849.0,308671.0,79599.0,155336.0,1710397.0,1633089.0,155540.0,232848.0
2018-03-27,1850903.0,447504.0,927130.0,276755.0,26444.0,82294.0,307875.0,199036.0,143169.0,274971.0,82075.0,163920.0,1696488.0,1624068.0,154415.0,226835.0
2018-03-20,1862226.0,429031.0,973564.0,281100.0,30100.0,64804.0,368293.0,160917.0,154038.0,256449.0,85224.0,161785.0,1715500.0,1630432.0,146726.0,231794.0
2018-03-13,1860162.0,401212.0,997799.0,292225.0,30843.0,45440.0,379108.0,141465.0,175090.0,250832.0,73025.0,164738.0,1708645.0,1628400.0,151517.0,231762.0
2018-03-06,1743951.0,399525.0,924373.0,288266.0,25413.0,44780.0,344088.0,180474.0,147819.0,234011.0,77241.0,132998.0,1591487.0,1533098.0,152464.0,210853.0
2018-02-27,1636559.0,390418.0,810533.0,268349.0,24480.0,42803.0,282353.0,223908.0,146197.0,225124.0,69077.0,123112.0,1478356.0,1440110.0,158203.0,196449.0
2018-02-20,1681923.0,393842.0,756271.0,253988.0,23646.0,64471.0,265863.0,243467.0,158432.0,230038.0,86502.0,143263.0,1509897.0,1476052.0,172026.0,205871.0
2018-02-13,1661360.0,410526.0,753601.0,252468.0,22166.0,62435.0,258539.0,263755.0,147588.0,218971.0,79783.0,132343.0,1482870.0,1461671.0,178490.0,199689.0
2018-02-06,1711904.0,440104.0,716045.0,252863.0,23627.0,69459.0,242857.0,327729.0,143346.0,210362.0,77420.0,162464.0,1521455.0,1520090.0,190449.0,191814.0
2018-01-30,1692248.0,430105.0,682085.0,254055.0,23087.0,60026.0,236675.0,365729.0,159183.0,216821.0,74013.0,144759.0,1501624.0,1508882.0,190624.0,183366.0
2018-01-23,1668554.0,456452.0,619520.0,248047.0,26811.0,57343.0,207907.0,424964.0,157560.0,216526.0,76494.0,131183.0,1475018.0,1493875.0,193536.0,174679.0
2018-01-16,1637164.0,442113.0,590885.0,248122.0,28943.0,47953.0,213267.0,438330.0,163816.0,207854.0,75038.0,119332.0,1442457.0,1464297.0,194707.0,172867.0
2018-01-09,1589938.0,423112.0,575621.0,250654.0,29483.0,47588.0,204600.0,421432.0,164268.0,205698.0,75580.0,101780.0,1397700.0,1415752.0,192238.0,174186.0
2018-01-02,1542911.0,407230.0,585777.0,256760.0,27014.0,46265.0,213196.0,402732.0,146881.0,190235.0,70430.0,91775.0,1352342.0,1370874.0,190569.0,172037.0
2017-12-26,1544322.0,414867.0,584759.0,257477.0,30139.0,43809.0,211405.0,409898.0,140926.0,195747.0,71911.0,89728.0,1353959.0,1371170.0,190363.0,173152.0
2017-12-19,1549922.0,407312.0,564007.0,258967.0,29498.0,41523.0,209192.0,432597.0,152434.0,200351.0,69918.0,86851.0,1356630.0,1376828.0,193292.0,173094.0
2017-12-12,1520469.0,393125.0,568209.0,269370.0,31123.0,38694.0,207082.0,406002.0,153715.0,193764.0,70693.0,76454.0,1332204.0,1344890.0,188265.0,175579.0
2017-12-05,1484205.0,370763.0,564709.0,270083.0,28082.0,34615.0,230912.0,385973.0,140808.0,173646.0,72293.0,84859.0,1305686.0,1311339.0,178519.0,172866.0
2017-11-28,1573236.0,433879.0,589658.0,269001.0,29918.0,39184.0,216408.0,410428.0,140408.0,172552.0,70384.0,105789.0,1377221.0,1385769.0,196015.0,187467.0
2017-11-21,1681453.0,477484.0,614456.0,252029.0,28819.0,58497.0,219169.0,431448.0,142111.0,204716.0,85074.0,126964.0,1480970.0,1487369.0,200483.0,194084.0
2017-11-14,1702668.0,499638.0,596750.0,250166.0,31440.0,64575.0,204586.0,447470.0,141948.0,207084.0,89313.0,127850.0,1495847.0,1499346.0,206821.0,203322.0
2017-11-07,1623655.0,436352.0,580769.0,245536.0,26264.0,63833.0,202829.0,405285.0,133645.0,189210.0,73754.0,150621.0,1422026.0,1434171.0,201629.0,189484.0
2017-10-31,1593417.0,435300.0,567550.0,242678.0,29218.0,64734.0,195077.0,394212.0,119898.0,181796.0,74420.0,151780.0,1391263.0,1401812.0,202154.0,191605.0
2017-10-24,1546282.0,398663.0,559401.0,249400.0,28523.0,52939.0,214861.0,370168.0,121621.0,166012.0,81261.0,140879.0,1344375.0,1354792.0,201907.0,191490.0
2017-10-17,1489037.0,375481.0,546278.0,251371.0,32591.0,42212.0,213330.0,367969.0,118465.0,169019.0,78557.0,116697.0,1286575.0,1302769.0,202462.0,186268.0
2017-10-10,1449877.0,367445.0,547867.0,252739.0,30172.0,39938.0,212150.0,363113.0,110558.0,162388.0,73085.0,103574.0,1248792.0,1268307.0,201085.0,181570.0
2017-10-03,1433227.0,356064.0,553654.0,257335.0,30671.0,40287.0,216268.0,347227.0,99147.0,158739.0,74883.0,110303.0,1238143.0,1256172.0,195084.0,177055.0
2017-09-26,1405286.0,341706.0,557248.0,252289.0,26368.0,38522.0,219642.0,341313.0,94838.0,161533.0,72789.0,99610.0,1208140.0,1230688.0,197146.0,174598.0
2017-09-19,1395966.0,346181.0,546176.0,248463.0,29618.0,35316.0,218664.0,349566.0,99793.0,159564.0,66687.0,92639.0,1200620.0,1219795.0,195346.0,176171.0
2017-09-12,1368725.0,341560.0,557503.0,247964.0,27190.0,27878.0,218509.0,334853.0,90839.0,155284.0,63554.0,96217.0,1178251.0,1198034.0,190474.0,170691.0
2017-09-05,1337632.0,333770.0,556243.0,245987.0,28946.0,25322.0,215999.0,319897.0,90850.0,153920.0,64022.0,86495.0,1152343.0,1171775.0,185289.0,165857.0
2017-08-29,1373874.0,356603.0,586028.0,245868.0,26970.0,24820.0,220845.0,284377.0,96266.0,139852.0,73944.0,103744.0,1187998.0,1196149.0,185876.0,177725.0
2017-08-22,1447921.0,387731.0,663750.0,239180.0,31770.0,26811.0,228781.0,254804.0,91645.0,177686.0,81155.0,111663.0,1263497.0,1261598.0,184424.0,186323.0
