Date,Open,High,Low,Last,Change,Settle,Volume,Previous_Day_Open_Interest
2018-07-10,344.25,344.75,336.25,339.5,6.0,339.75,2668.0,2186.0
2018-07-09,346.0,348.5,342.5,346.0,6.0,345.75,3190.0,2969.0
2018-07-06,342.0,352.25,342.0,350.75,8.25,351.75,3068.0,3959.0
2018-07-05,345.5,348.75,341.5,342.5,0.75,343.5,3302.0,4812.0
2018-07-03,340.25,345.25,339.25,343.25,5.25,342.75,3048.0,5687.0
2018-07-02,352.25,352.25,337.0,338.25,12.75,337.5,7477.0,8415.0
2018-06-29,345.75,355.5,345.5,350.0,5.25,350.25,18770.0,18445.0
2018-06-28,351.5,352.5,344.5,345.5,7.5,345.0,137406.0,71969.0
2018-06-27,352.0,356.5,351.5,352.25,,352.5,146445.0,142195.0
2018-06-26,350.5,355.5,348.0,352.0,2.0,352.5,201060.0,200368.0
2018-06-25,358.5,359.5,349.25,349.75,6.75,350.5,170790.0,242829.0
2018-06-22,358.0,359.75,355.0,357.25,0.25,357.25,119294.0,333986.0
2018-06-21,354.25,359.0,349.25,357.5,2.75,357.0,142241.0,362167.0
2018-06-20,354.0,357.0,347.5,354.0,0.5,354.25,176520.0,388407.0
2018-06-19,355.75,357.75,338.75,353.75,2.25,353.75,309734.0,407909.0
2018-06-18,359.5,362.0,354.0,355.75,5.25,356.0,162475.0,422055.0
2018-06-15,364.5,368.25,355.25,361.0,1.75,361.25,286175.0,443306.0
2018-06-14,374.0,374.75,362.5,363.25,13.0,363.0,339069.0,487860.0
2018-06-13,377.5,379.75,373.25,376.0,1.5,376.0,203129.0,527519.0
2018-06-12,368.0,379.5,367.25,377.5,10.25,377.5,278575.0,566301.0
2018-06-11,376.5,379.0,366.75,367.25,10.5,367.25,256339.0,589007.0
2018-06-08,376.25,379.0,373.5,377.75,1.5,377.75,155434.0,608974.0
2018-06-07,379.0,382.0,374.25,376.0,2.0,376.25,274914.0,671048.0
2018-06-06,384.25,386.5,378.0,378.75,5.5,378.25,207485.0,690473.0
2018-06-05,380.75,385.25,380.0,383.75,3.0,383.75,194052.0,719201.0
2018-06-04,389.75,389.75,380.5,381.0,10.75,380.75,241463.0,722778.0
2018-06-01,393.75,397.0,390.75,391.25,2.5,391.5,157569.0,736393.0
2018-05-31,393.5,398.5,393.25,393.75,0.5,394.0,174194.0,754315.0
2018-05-30,398.25,398.5,390.75,393.5,6.5,393.5,270492.0,773970.0
